# upstream_commit	e56521e3234131a2c1639a74e2f15fff643acf30
upstream_path	area	kind	status	bulb_path	notes
packages/ai/test/codex-websocket-cached-probe.ts	bulb_ai	test	pending		
packages/ai/test/context-overflow.test.ts	bulb_ai	test	pending		
packages/ai/test/cross-provider-handoff.test.ts	bulb_ai	test	pending		
packages/ai/test/data/red-circle.png	bulb_ai	test	pending		
packages/ai/test/empty.test.ts	bulb_ai	test	pending		
packages/ai/test/env-api-keys.test.ts	bulb_ai	test	pending		
packages/ai/test/faux-provider.test.ts	bulb_ai	test	in_progress	src/bulb_ai/faux_provider.zig	Native regression coverage ported for models, metadata, queues, factories, usage, cache simulation, stream events, aborts, and unregister
packages/ai/test/fireworks-models.test.ts	bulb_ai	test	pending		
packages/ai/test/github-copilot-anthropic.test.ts	bulb_ai	test	pending		
packages/ai/test/github-copilot-oauth.test.ts	bulb_ai	test	pending		
packages/ai/test/google-shared-convert-tools.test.ts	bulb_ai	test	pending		
packages/ai/test/google-shared-gemini3-unsigned-tool-call.test.ts	bulb_ai	test	pending		
packages/ai/test/google-shared-image-tool-result-routing.test.ts	bulb_ai	test	pending		
packages/ai/test/google-thinking-disable.test.ts	bulb_ai	test	pending		
packages/ai/test/google-thinking-signature.test.ts	bulb_ai	test	pending		
packages/ai/test/google-vertex-api-key-resolution.test.ts	bulb_ai	test	pending		
packages/ai/test/image-tool-result.test.ts	bulb_ai	test	pending		
packages/ai/test/images.test.ts	bulb_ai	test	pending		
packages/ai/test/interleaved-thinking.test.ts	bulb_ai	test	pending		
packages/ai/test/lazy-module-load.test.ts	bulb_ai	test	pending		
packages/ai/test/mistral-reasoning-mode.test.ts	bulb_ai	test	pending		
packages/ai/test/mistral-tool-schema.test.ts	bulb_ai	test	pending		
packages/ai/test/node-http-proxy.test.ts	bulb_ai	test	pending		
packages/ai/test/oauth-device-code.test.ts	bulb_ai	test	pending		
packages/ai/test/oauth.ts	bulb_ai	test	pending		
packages/ai/test/openai-codex-cache-affinity-e2e.test.ts	bulb_ai	test	pending		
packages/ai/test/openai-codex-oauth.test.ts	bulb_ai	test	pending		
packages/ai/test/openai-codex-stream.test.ts	bulb_ai	test	pending		
packages/ai/test/openai-completions-cache-control-format.test.ts	bulb_ai	test	pending		
packages/ai/test/openai-completions-empty-tools.test.ts	bulb_ai	test	pending		
packages/ai/test/openai-completions-prompt-cache.test.ts	bulb_ai	test	pending		
packages/ai/test/openai-completions-response-model.test.ts	bulb_ai	test	pending		
packages/ai/test/openai-completions-retry.test.ts	bulb_ai	test	pending		
packages/ai/test/openai-completions-thinking-as-text.test.ts	bulb_ai	test	pending		
packages/ai/test/openai-completions-tool-choice.test.ts	bulb_ai	test	pending		
packages/ai/test/openai-completions-tool-result-images.test.ts	bulb_ai	test	pending		
packages/ai/test/openai-responses-cache-affinity-e2e.test.ts	bulb_ai	test	pending		
packages/ai/test/openai-responses-copilot-provider.test.ts	bulb_ai	test	pending		
packages/ai/test/openai-responses-foreign-toolcall-id.test.ts	bulb_ai	test	pending		
packages/ai/test/openai-responses-message-id.test.ts	bulb_ai	test	pending		
packages/ai/test/openai-responses-partial-json-cleanup.test.ts	bulb_ai	test	pending		
packages/ai/test/openai-responses-reasoning-replay-e2e.test.ts	bulb_ai	test	pending		
packages/ai/test/openai-responses-tool-result-images.test.ts	bulb_ai	test	pending		
packages/ai/test/openrouter-cache-write-repro.test.ts	bulb_ai	test	pending		
packages/ai/test/openrouter-images.test.ts	bulb_ai	test	pending		
packages/ai/test/overflow.test.ts	bulb_ai	test	pending		
packages/ai/test/responseid.test.ts	bulb_ai	test	pending		
packages/ai/test/stream.test.ts	bulb_ai	test	pending		
packages/ai/test/supports-xhigh.test.ts	bulb_ai	test	pending		
packages/ai/test/together-models.test.ts	bulb_ai	test	pending		
packages/ai/test/tokens.test.ts	bulb_ai	test	pending		
packages/ai/test/tool-call-id-normalization.test.ts	bulb_ai	test	pending		
packages/ai/test/tool-call-without-result.test.ts	bulb_ai	test	pending		
packages/ai/test/total-tokens.test.ts	bulb_ai	test	in_progress	src/bulb_ai/types.zig	Total token accounting invariant started
packages/ai/test/transform-messages-copilot-openai-to-anthropic.test.ts	bulb_ai	test	pending		
packages/ai/test/unicode-surrogate.test.ts	bulb_ai	test	pending		
packages/ai/test/validation.test.ts	bulb_ai	test	pending		
packages/ai/test/xhigh.test.ts	bulb_ai	test	pending		
packages/ai/test/xiaomi-models.test.ts	bulb_ai	test	pending		
packages/ai/test/xiaomi-token-plan-ams-anthropic-empty-signature-smoke.test.ts	bulb_ai	test	pending		
packages/ai/test/zen.test.ts	bulb_ai	test	pending		
packages/ai/tsconfig.build.json	bulb_ai	source	pending		
packages/ai/vitest.config.ts	bulb_ai	source	pending		
packages/coding-agent/.gitignore	bulb_coding_agent	source	pending		
packages/coding-agent/CHANGELOG.md	bulb_coding_agent	doc	pending		
packages/coding-agent/README.md	bulb_coding_agent	doc	pending		
packages/coding-agent/docs/compaction.md	bulb_coding_agent	doc	pending		
packages/coding-agent/docs/custom-provider.md	bulb_coding_agent	doc	pending		
packages/coding-agent/docs/development.md	bulb_coding_agent	doc	pending		
packages/coding-agent/docs/docs.json	bulb_coding_agent	source	pending		
packages/coding-agent/docs/extensions.md	bulb_coding_agent	doc	pending		
packages/coding-agent/docs/images/doom-extension.png	bulb_coding_agent	source	pending		
packages/coding-agent/docs/images/exy.png	bulb_coding_agent	source	pending		
packages/coding-agent/docs/images/interactive-mode.png	bulb_coding_agent	source	pending		
packages/coding-agent/docs/images/tree-view.png	bulb_coding_agent	source	pending		
packages/coding-agent/docs/index.md	bulb_coding_agent	doc	pending		
packages/coding-agent/docs/json.md	bulb_coding_agent	doc	pending		
packages/coding-agent/docs/keybindings.md	bulb_coding_agent	doc	pending		
packages/coding-agent/docs/models.md	bulb_coding_agent	doc	pending		
packages/coding-agent/docs/packages.md	bulb_coding_agent	doc	pending		
packages/coding-agent/docs/prompt-templates.md	bulb_coding_agent	doc	pending		
packages/coding-agent/docs/providers.md	bulb_coding_agent	doc	pending		
packages/coding-agent/docs/quickstart.md	bulb_coding_agent	doc	pending		
packages/coding-agent/docs/rpc.md	bulb_coding_agent	doc	pending		
packages/coding-agent/docs/sdk.md	bulb_coding_agent	doc	pending		
packages/coding-agent/docs/session-format.md	bulb_coding_agent	doc	pending		
packages/coding-agent/docs/sessions.md	bulb_coding_agent	doc	pending		
packages/coding-agent/docs/settings.md	bulb_coding_agent	doc	pending		
packages/coding-agent/docs/shell-aliases.md	bulb_coding_agent	doc	pending		
packages/coding-agent/docs/skills.md	bulb_coding_agent	doc	pending		
packages/coding-agent/docs/terminal-setup.md	bulb_coding_agent	doc	pending		
packages/coding-agent/docs/termux.md	bulb_coding_agent	doc	pending		
packages/coding-agent/docs/themes.md	bulb_coding_agent	doc	pending		
packages/coding-agent/docs/tmux.md	bulb_coding_agent	doc	pending		
packages/coding-agent/docs/tui.md	bulb_coding_agent	doc	pending		
packages/coding-agent/docs/usage.md	bulb_coding_agent	doc	pending		
packages/coding-agent/docs/windows.md	bulb_coding_agent	doc	pending		
packages/coding-agent/examples/README.md	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/README.md	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/auto-commit-on-exit.ts	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/bash-spawn-hook.ts	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/bookmark.ts	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/border-status-editor.ts	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/built-in-tool-renderer.ts	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/claude-rules.ts	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/commands.ts	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/confirm-destructive.ts	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/custom-compaction.ts	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/custom-footer.ts	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/custom-header.ts	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/custom-provider-anthropic/.gitignore	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/custom-provider-anthropic/index.ts	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/custom-provider-anthropic/package-lock.json	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/custom-provider-anthropic/package.json	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/custom-provider-gitlab-duo/.gitignore	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/custom-provider-gitlab-duo/index.ts	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/custom-provider-gitlab-duo/package.json	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/custom-provider-gitlab-duo/test.ts	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/dirty-repo-guard.ts	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/doom-overlay/.gitignore	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/doom-overlay/README.md	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/doom-overlay/doom-component.ts	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/doom-overlay/doom-engine.ts	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/doom-overlay/doom-keys.ts	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/doom-overlay/doom/build.sh	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/doom-overlay/doom/build/doom.js	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/doom-overlay/doom/build/doom.wasm	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/doom-overlay/doom/doomgeneric_pi.c	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/doom-overlay/index.ts	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/doom-overlay/wad-finder.ts	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/dynamic-resources/SKILL.md	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/dynamic-resources/dynamic.json	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/dynamic-resources/dynamic.md	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/dynamic-resources/index.ts	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/dynamic-tools.ts	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/event-bus.ts	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/file-trigger.ts	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/git-checkpoint.ts	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/git-merge-and-resolve.ts	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/github-issue-autocomplete.ts	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/handoff.ts	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/hello.ts	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/hidden-thinking-label.ts	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/inline-bash.ts	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/input-transform-streaming.ts	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/input-transform.ts	bulb_coding_agent	example	pending		
packages/coding-agent/examples/extensions/interactive-shell.ts	bulb_coding_agent	example	pending		
